City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.72,broken clouds,-23.1203,-134.9692,Pension Maro'i
6,Puerto Ayora,EC,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
14,Vaini,TO,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
15,Bac Lieu,VN,75.6,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
19,San Lorenzo,PY,77.0,clear sky,-25.3333,-57.5333,Canarias Hotel
27,Wukari,NG,76.95,overcast clouds,7.85,9.7833,Elimtop
30,Faanui,PF,81.54,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
35,Dingle,PH,76.53,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
37,Atuona,PF,79.7,few clouds,-9.8,-139.0333,Villa Enata
42,Karratha,AU,80.2,clear sky,-20.7377,116.8463,ibis Styles Karratha
47,Gorontalo,ID,80.65,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
52,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
53,Saint-Georges,GD,78.8,scattered clouds,12.0564,-61.7485,Siesta Hotel
55,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
56,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
57,Coahuayana,MX,77.0,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
65,Inhambane,MZ,78.85,overcast clouds,-23.865,35.3833,Oceano
66,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
67,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
68,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Cartagena,CO,80.6,scattered clouds,10.3997,-75.5144,Costa Del Sol
76,Kirakira,SB,85.01,few clouds,-10.4544,161.9205,SanBiz Lodge
80,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
82,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
83,Isangel,VU,84.2,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
91,Port-Gentil,GA,77.0,few clouds,-0.7193,8.7815,Fengshui Residence
94,Ocos,GT,89.6,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
97,Lamu,KE,78.8,clear sky,-2.2717,40.902,Lamu House
100,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
106,Bani,DO,80.01,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
109,Inirida,CO,75.88,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
111,Hilo,US,82.4,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
112,Key Largo,US,75.99,scattered clouds,25.0865,-80.4473,Bayside Inn Key Largo
114,Ondjiva,AO,76.48,overcast clouds,-17.0667,15.7333,SOS Motel
116,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
119,Kralendijk,BQ,78.8,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
123,Arraial Do Cabo,BR,75.04,light rain,-22.9661,-42.0278,Pousada Porto Praia
126,Black River,JM,80.6,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
130,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
140,Maumere,ID,81.59,overcast clouds,-8.6199,122.2111,Sylvia Hotel
141,Ejura,GH,81.61,scattered clouds,7.3856,-1.3562,Fire Servece
148,Sibu,MY,75.2,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
150,Hithadhoo,MV,81.61,scattered clouds,-0.6,73.0833,Scoop Guest House
152,Simplicio Mendes,BR,77.94,few clouds,-7.8539,-41.9103,Fidalgo
153,Meulaboh,ID,76.32,broken clouds,4.1363,96.1285,Kost Pria
155,San Matias,BO,77.09,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
157,Sinnamary,GF,78.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
