City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-02-07 22:29:11,42.6001,-73.9662,28.99,62,100,4.0
1,Mar Del Plata,AR,2021-02-07 22:29:11,-38.0023,-57.5575,61.0,88,90,13.8
2,Rikitea,PF,2021-02-07 22:29:11,-23.1203,-134.9692,77.65,72,97,13.13
3,Kodiak,US,2021-02-07 22:29:12,57.79,-152.4072,35.6,48,1,4.88
4,Ushuaia,AR,2021-02-07 22:27:42,-54.8,-68.3,60.8,59,0,4.61
5,Provideniya,RU,2021-02-07 22:27:56,64.3833,-173.3,-2.51,81,61,17.43
6,Arraial Do Cabo,BR,2021-02-07 22:29:13,-22.9661,-42.0278,73.4,88,75,6.91
7,Madang,PG,2021-02-07 22:29:13,-5.2246,145.7966,77.31,87,100,4.63
8,Balclutha,NZ,2021-02-07 22:29:13,-46.2339,169.75,64.99,76,100,8.01
9,Hithadhoo,MV,2021-02-07 22:29:14,-0.6,73.0833,81.73,70,56,6.64
10,Khatanga,RU,2021-02-07 22:29:15,71.9667,102.5,-29.72,79,0,10.65
11,Puerto Ayora,EC,2021-02-07 22:29:15,-0.7393,-90.3518,82.4,74,75,13.8
12,Waingapu,ID,2021-02-07 22:29:16,-9.6567,120.2641,77.92,79,92,7.2
13,Araouane,ML,2021-02-07 22:29:16,18.9048,-3.5265,64.94,26,75,11.12
14,Nikolskoye,RU,2021-02-07 22:29:16,59.7035,30.7861,15.8,86,40,13.42
15,Saskylakh,RU,2021-02-07 22:29:16,71.9167,114.0833,-37.14,78,30,13.58
16,Dali,CN,2021-02-07 22:29:16,25.7,100.1833,39.99,83,20,2.64
17,Bambous Virieux,MU,2021-02-07 22:29:16,-20.3428,57.7575,80.6,74,20,8.05
18,Port Blair,IN,2021-02-07 22:28:36,11.6667,92.75,77.13,82,12,12.28
19,Kaitangata,NZ,2021-02-07 22:29:17,-46.2817,169.8464,64.99,76,100,8.01
20,General Bravo,MX,2021-02-07 22:29:17,25.8,-99.1667,79.11,31,77,17.74
21,Dabakala,CI,2021-02-07 22:29:17,8.3667,-4.4333,83.88,40,29,4.65
22,Kahului,US,2021-02-07 22:29:17,20.8947,-156.47,77.0,57,20,9.22
23,Karratha,AU,2021-02-07 22:29:03,-20.7377,116.8463,77.32,73,6,8.61
24,Bathsheba,BB,2021-02-07 22:28:48,13.2167,-59.5167,78.8,65,40,17.27
25,Mataura,NZ,2021-02-07 22:29:18,-46.1927,168.8643,67.14,50,98,3.09
26,Kindu,CD,2021-02-07 22:29:02,-2.95,25.95,72.55,80,97,0.98
27,Luderitz,NA,2021-02-07 22:29:18,-26.6481,15.1594,68.94,56,0,29.44
