City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.72,73,84,13.06,broken clouds
1,Barrow,US,71.2906,-156.7887,-25.6,68,1,9.22,clear sky
2,Bluff,NZ,-46.6,168.3333,63.18,65,100,4.29,moderate rain
3,Hargeysa,SO,9.56,44.065,58.8,95,72,14.34,broken clouds
4,Khatanga,RU,71.9667,102.5,-28.75,79,0,11.07,clear sky
5,Vila Velha,BR,-20.3297,-40.2925,70.0,94,90,8.7,moderate rain
6,Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,93,4.0,overcast clouds
7,Port Alfred,ZA,-33.5906,26.891,66.0,96,94,3.0,overcast clouds
8,Busselton,AU,-33.65,115.3333,64.0,99,86,1.99,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,55.4,71,20,8.05,few clouds
10,New Norfolk,AU,-42.7826,147.0587,60.01,72,67,1.01,broken clouds
11,Qaanaaq,GL,77.484,-69.3632,15.03,85,82,6.71,broken clouds
12,Bredasdorp,ZA,-34.5322,20.0403,59.0,77,52,4.61,broken clouds
13,Mayo,US,38.8876,-76.5119,37.99,65,40,16.11,scattered clouds
14,Vaini,TO,-21.2,-175.2,77.0,100,90,10.36,moderate rain
15,Bac Lieu,VN,9.285,105.7244,75.6,84,23,15.1,few clouds
16,Bonavista,CA,48.6499,-53.1147,30.0,68,0,14.97,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,69.8,28,0,6.91,clear sky
18,Cape Town,ZA,-33.9258,18.4232,66.2,68,0,14.97,clear sky
19,San Lorenzo,PY,-25.3333,-57.5333,77.0,65,0,2.3,clear sky
20,Shimoda,JP,34.6667,138.95,51.8,54,20,19.57,few clouds
21,Kapaa,US,22.0752,-159.319,73.99,56,1,5.75,clear sky
22,Sitka,US,57.0531,-135.33,35.6,30,40,6.91,scattered clouds
23,Albany,US,42.6001,-73.9662,28.0,62,99,3.0,light snow
24,Janow Lubelski,PL,50.707,22.4104,19.0,86,100,11.01,light snow
25,Bakchar,RU,57.0186,82.0711,10.92,94,100,11.52,overcast clouds
26,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,79,1,11.5,clear sky
27,Wukari,NG,7.85,9.7833,76.95,18,87,4.34,overcast clouds
28,Nakusp,CA,50.2499,-117.8023,32.0,59,97,1.14,overcast clouds
29,Sept-Iles,CA,50.2001,-66.3821,17.6,73,49,2.3,scattered clouds
30,Faanui,PF,-16.4833,-151.75,81.54,76,2,12.28,clear sky
31,Gasa,PS,31.5,34.4667,55.0,87,23,2.3,few clouds
32,Xichang,CN,27.8964,102.2634,44.69,70,94,3.71,overcast clouds
33,Carnarvon,AU,-24.8667,113.6333,77.0,100,7,8.05,clear sky
34,Yellowknife,CA,62.456,-114.3525,-31.0,61,40,8.05,scattered clouds
35,Dingle,PH,10.9995,122.6711,76.53,91,100,10.98,overcast clouds
36,Cidreira,BR,-30.1811,-50.2056,70.65,71,0,8.25,clear sky
37,Atuona,PF,-9.8,-139.0333,79.7,74,22,20.67,few clouds
38,Nouadhibou,MR,20.931,-17.0347,62.6,77,0,18.41,clear sky
39,Takanosu,JP,40.2219,140.3694,21.2,79,75,13.8,light snow
40,Nuuk,GL,64.1835,-51.7216,30.2,43,46,2.3,scattered clouds
41,Hermanus,ZA,-34.4187,19.2345,57.99,88,4,1.59,clear sky
42,Karratha,AU,-20.7377,116.8463,80.2,62,5,9.04,clear sky
43,Ilhabela,BR,-23.7781,-45.3581,73.15,70,88,2.93,overcast clouds
44,Bethel,US,41.3712,-73.414,28.4,86,40,3.44,scattered clouds
45,Grindavik,IS,63.8424,-22.4338,33.8,69,0,13.8,clear sky
46,Constitucion,CL,-35.3333,-72.4167,59.13,87,2,6.98,clear sky
47,Gorontalo,ID,0.5412,123.0595,80.65,79,100,3.02,overcast clouds
48,Sorland,NO,67.667,12.6934,34.18,86,78,8.93,broken clouds
49,Chornobay,UA,49.6708,32.3239,9.09,95,100,8.88,light snow
50,Saskylakh,RU,71.9167,114.0833,-36.94,79,32,12.73,scattered clouds
51,Plettenberg Bay,ZA,-34.0527,23.3716,63.75,79,81,7.45,broken clouds
